;Station.ID;Station.Name;Station.Latitude;Station.Longitude;;;;;;;;
1;3212;Christ Hospital;40.73478582;-74.05044364;;;;;;;;
2;3207;Oakland Ave;40.7376037;-74.0524783;;;;;;;;
3;3193;Lincoln Park;40.7246051;-74.07840595;;;;;;;;
4;3199;Newport Pkwy;40.7287448;-74.0321082;;;;;;;;
5;3183;Exchange Place;40.7162469;-74.0334588;;;;;;;;
6;3198;Heights Elevator;40.74871595;-74.0404433;;;;;;;;
7;3206;Hilltop;40.7311689;-74.0575736;;;;;;;;
8;3197;North St;40.752559;-74.044725;;;;;;;;
9;3213;Van Vorst Park;40.71848892;-74.04772663;;;;;;;;
10;3194;McGinley Square;40.72533993;-74.06762213;;;;;;;;
11;3215;Central Ave;40.7467299;-74.0492509;;;;;;;;
12;3196;Riverview Park;40.7443187;-74.0439909;;;;;;;;
13;3209;Brunswick St;40.7241765;-74.0506564;;;;;;;;
14;3214;Essex Light Rail;40.7127742;-74.0364857;;;;;;;;
15;3210;Pershing Field;40.74267714;-74.05178863;;;;;;;;
16;3217;Bayside Park;40.69865054;-74.08207968;;;;;;;;
17;3185;City Hall;40.7177325;-74.043845;;;;;;;;
18;3186;Grove St PATH;40.71958612;-74.04311746;;;;;;;;
19;3187;Warren St;40.7211236;-74.03805095;;;;;;;;
20;3203;Hamilton Park;40.72759597;-74.04424731;;;;;;;;
21;3211;Newark Ave;40.72152515;-74.04630454;;;;;;;;
22;3205;JC Medical Center;40.71653978;-74.04963791;;;;;;;;
23;3225;Baldwin at Montgomery;40.7236589;-74.0641943;;;;;;;;
24;3184;Paulus Hook;40.7141454;-74.0335519;;;;;;;;
25;3202;Newport PATH;40.7272235;-74.0337589;;;;;;;;
26;3216;Columbia Park;40.6970299;-74.0969366;;;;;;;;
27;3201;Dey St;40.737711;-74.066921;;;;;;;;
28;3220;5 Corners Library;40.73496102;-74.05950308;;;;;;;;
29;3195;Sip Ave;40.73074263;-74.06378388;;;;;;;;
30;3190;Garfield Ave Station;40.71046702;-74.0700388;;;;;;;;
31;3188;NJCU;40.7101087;-74.0858489;;;;;;;;
32;3192;Liberty Light Rail;40.7112423;-74.0557013;;;;;;;;
33;3200;MLK Light Rail;40.7111305;-74.0788855;;;;;;;;
34;3191;Union St;40.7182113;-74.0836394;;;;;;;;
35;3189;West Side Light Rail;40.714402;-74.0887723;;;;;;;;
36;3270;Jersey & 6th St;40.72528911;-74.04557168;;;;;;;;
37;3267;Morris Canal;40.71241882;-74.03852552;;;;;;;;
38;3272;Jersey & 3rd;40.72333159;-74.04595256;;;;;;;;
39;3268;Lafayette Park;40.71346383;-74.06285852;;;;;;;;
40;3278;Monmouth and 6th;40.72568548;-74.04879034;;;;;;;;
41;3279;Dixon Mills;40.72163014;-74.04996783;;;;;;;;
42;3276;Marin Light Rail;40.71458404;-74.04281706;;;;;;;;
43;3273;Manila & 1st;40.72165072;-74.04288411;;;;;;;;
44;3275;Columbus Drive;40.7183552;-74.03891444;;;;;;;;
45;3274;Bethune Center;40.70495752;-74.08593088;;;;;;;;
46;3281;Leonard Gordon Park;40.74590997;-74.05727148;;;;;;;;
47;3271;Danforth Light Rail;40.69263997;-74.08801228;;;;;;;;
48;3269;Brunswick & 6th;40.72601173;-74.05038893;;;;;;;;
49;3280;Astor Place;40.7192822;-74.07126188;;;;;;;;
50;3426;JCBS Depot;40.70965083;-74.06860113;;;;;;;;
51;3277;Communipaw & Berry Lane;40.71435837;-74.06661093;;;;;;;;
52;514;12 Ave & W 40 St;40.76087502;-74.00277668;;;;;;;;
53;426;West St & Chambers St;40.71754834;-74.01322069;;;;;;;;
54;405;Washington St & Gansevoort St;40.739323;-74.008119;;;;;;;;
55;3173;Riverside Blvd & W 67 St;40.77750703;-73.98888588;;;;;;;;
56;3169;Riverside Dr & W 82 St;40.78720869;-73.98128127;;;;;;;;
57;457;Broadway & W 58 St;40.76695317;-73.98169333;;;;;;;;
58;466;W 25 St & 6 Ave;40.74395411;-73.99144871;;;;;;;;
59;448;W 37 St & 10 Ave;40.75660359;-73.9979009;;;;;;;;
60;505;6 Ave & W 33 St;40.74901271;-73.98848395;;;;;;;;
61;363;West Thames St;40.70834698;-74.01713445;;;;;;;;
62;247;Perry St & Bleecker St;40.73535398;-74.00483091;;;;;;;;
63;327;Vesey Pl & River Terrace;40.7153379;-74.01658354;;;;;;;;
64;309;Murray St & West St;40.7149787;-74.013012;;;;;;;;
65;534;Water - Whitehall Plaza;40.70255065;-74.0127234;;;;;;;;
66;249;Harrison St & Hudson St;40.71870987;-74.0090009;;;;;;;;
67;225;W 14 St & The High Line;40.74195138;-74.00803013;;;;;;;;
68;276;Duane St & Greenwich St;40.71748752;-74.0104554;;;;;;;;
69;403;E 2 St & 2 Ave;40.72502876;-73.99069656;;;;;;;;
70;295;Pike St & E Broadway;40.71406667;-73.99293911;;;;;;;;
71;430;York St & Jay St;40.7014851;-73.98656928;;;;;;;;
72;2008;Little West St & 1 Pl;40.70569254;-74.01677685;;;;;;;;
