"","StartStationID","EndStationID","Gender","BirthDecade"
"1","3225","3183","2","70s"
"2","3183","3214","2","80s"
"3","3214","3183","2","80s"
"4","3183","3183","2","80s"
"5","3183","3186","2","60s"
"6","3186","3209","1","80s"
"7","3203","3186","1","70s"
"8","3186","3184","1","80s"
"9","3184","3214","1","80s"
"10","3213","3186","2","80s"
"11","3184","3187","2","80s"
"12","3187","3214","2","80s"
"13","3214","3214","1","80s"
"14","3214","3183","2","70s"
"15","3183","3187","1","60s"
"16","3184","3206","2","80s"
"17","3211","3203","1","60s"
"18","3203","3211","1","60s"
"19","3211","3213","1","80s"
"20","3213","3211","1","60s"
"21","3184","3183","1","70s"
"22","3183","3214","2","80s"
"23","3186","3209","1","80s"
"24","3209","3186","1","80s"
"25","3267","3185","1","70s"
"26","3185","3211","2","70s"
"27","3211","3268","1","80s"
"28","3268","3192","2","70s"
"29","3192","3186","1","70s"
"30","3267","3199","2","70s"
"31","3199","3267","2","70s"
"32","3267","3276","1","80s"
"33","3276","3267","1","70s"
"34","3267","3184","1","90s"
"35","3184","3270","2","80s"
"36","3184","3185","2","80s"
"37","3185","3267","1","80s"
"38","3267","3183","1","80s"
"39","3183","3214","1","80s"
"40","3214","3267","1","80s"
"41","3267","3184","2","80s"
"42","3184","3276","1","80s"
"43","3276","3183","2","80s"
"44","3183","3183","1","80s"
"45","3267","3183","1","80s"
"46","3183","3214","1","80s"
"47","3276","3184","1","70s"
"48","3183","3186","2","80s"
"49","3186","3185","1","80s"
"50","3199","3199","1","80s"
"51","3199","3183","2","80s"
"52","3183","3185","1","70s"
"53","3186","3192","2","80s"
"54","3225","3195","2","70s"
"55","3213","3214","1","90s"
"56","3214","3186","1","70s"
"57","3186","3187","2","90s"
"58","3187","3225","1","80s"
"59","3225","3195","2","90s"
"60","3195","3188","1","70s"
"61","3184","3209","1","90s"
"62","3209","3203","1","80s"
"63","3187","3186","2","80s"
"64","3203","3186","1","70s"
"65","3203","3211","1","80s"
"66","3211","3211","2","70s"
"67","3211","3209","1","70s"
"68","3209","3186","1","80s"
"69","3202","3187","1","80s"
"70","3186","3211","1","80s"
"71","3211","3186","1","80s"
"72","3214","3214","1","70s"
"73","3214","3185","1","80s"
"74","3185","3183","1","80s"
"75","3183","3214","1","80s"
"76","3214","3202","1","90s"
"77","3202","3187","1","80s"
"78","3187","3187","1","90s"
"79","3272","3213","1","80s"
"80","3213","3186","1","80s"
"81","3214","3186","1","70s"
"82","3214","3183","1","80s"
"83","3195","3194","1","90s"
"84","3194","3195","1","80s"
"85","3194","3195","2","90s"
"86","3186","3183","2","70s"
"87","3183","3201","1","80s"
"88","3201","3199","1","80s"
"89","3214","3186","1","70s"
"90","3186","3214","2","80s"
"91","3214","3192","1","70s"
"92","3279","3183","1","80s"
"93","3183","3267","1","80s"
"94","3184","3183","1","70s"
"95","3214","3183","1","80s"
"96","3203","3186","2","70s"
"97","3186","3270","1","70s"
"98","3211","3270","1","60s"
"99","3270","3186","1","80s"
"100","3267","3186","1","70s"
"101","3186","3279","2","70s"
"102","3279","3186","2","80s"
"103","3186","3276","1","80s"
"104","3276","3186","1","80s"
"105","3275","3183","1","80s"
"106","3183","3187","1","80s"
"107","3187","3184","1","60s"
"108","3184","3187","1","60s"
"109","3279","3186","1","70s"
"110","3186","3184","1","90s"
"111","3184","3184","1","80s"
"112","3184","3185","1","80s"
"113","3279","3186","2","80s"
"114","3186","3279","1","80s"
"115","3279","3186","1","70s"
"116","3186","3209","1","80s"
"117","3198","3199","2","80s"
"118","3199","3183","2","70s"
"119","3207","3195","1","90s"
"120","3195","3194","2","80s"
"121","3195","3193","1","80s"
"122","3193","3191","1","80s"
"123","3212","3195","1","80s"
"124","3195","3207","1","90s"
"125","3207","3210","2","90s"
"126","3210","3207","2","60s"
"127","3207","3198","1","80s"
"128","3198","3209","2","70s"
"129","3209","3186","1","60s"
"130","3225","3186","1","80s"
"131","3186","3276","1","70s"
"132","3276","3186","1","80s"
"133","3186","3272","1","80s"
"134","3272","3272","1","60s"
"135","3272","3199","2","60s"
"136","3199","3183","2","70s"
"137","3211","3214","1","70s"
"138","3214","3183","1","70s"
"139","3183","3190","1","80s"
"140","3214","3186","1","80s"
"141","3186","3213","2","70s"
"142","3213","3186","1","60s"
"143","3209","3199","2","80s"
"144","3199","3186","2","80s"
"145","3184","3192","1","60s"
"146","3192","3183","1","90s"
"147","3183","3267","1","80s"
"148","3183","3276","1","80s"
"149","3276","3183","1","60s"
"150","3183","3273","1","80s"
"151","3198","3194","1","80s"
"152","3194","3183","1","80s"
"153","3186","3214","2","80s"
"154","3214","3214","1","80s"
"155","3214","3186","1","70s"
"156","3187","3186","1","90s"
"157","3186","3203","1","80s"
